Timestamp,Conductivity (uS/cm),Specific Conductance (uS/cm),Temperature (C)
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.4,96.9,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.5,97.1,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.5,97.1,22
10/1/2016 11:46,91.5,97.1,22
10/1/2016 11:46,91.4,97,22
10/1/2016 11:46,91.5,97,22
10/1/2016 11:46,91.5,97.1,22
10/1/2016 11:46,91.5,97.1,22
10/1/2016 11:46,91.5,97.1,22
10/1/2016 11:46,91.5,97.1,22
10/1/2016 11:46,91.5,97.1,22
10/1/2016 11:47,91.5,97,22
10/1/2016 11:47,91.5,97.1,22
10/1/2016 11:47,91.5,97.1,22
10/1/2016 11:47,91.3,96.8,22
10/1/2016 11:47,91.4,97,22
10/1/2016 11:47,91.5,97.1,22
10/1/2016 11:47,91.5,97.1,22
10/1/2016 11:47,91.5,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.4,97,22
10/1/2016 11:47,91.5,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.5,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.5,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.7,97.2,22
10/1/2016 11:47,91.7,97.2,22
10/1/2016 11:47,91.7,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.1,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.6,97.2,22
10/1/2016 11:47,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.4,97,22
10/1/2016 11:48,91.3,96.8,22
10/1/2016 11:48,91.5,97,22
10/1/2016 11:48,91.6,97.1,22
10/1/2016 11:48,91.6,97.1,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.4,96.9,22
10/1/2016 11:48,91.5,97,22
10/1/2016 11:48,91.4,97,22
10/1/2016 11:48,91.4,96.9,22
10/1/2016 11:48,91.6,97.1,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.8,97.3,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.5,97,22
10/1/2016 11:48,91.6,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.2,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.8,97.3,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:48,91.7,97.3,22
10/1/2016 11:49,91.7,97.2,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.8,97.3,22
10/1/2016 11:49,91.7,97.2,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91.7,97.3,22
10/1/2016 11:49,91,96.5,22
10/1/2016 11:49,90.6,96.1,22
10/1/2016 11:49,91.2,96.7,22
10/1/2016 11:49,91.5,97,22
10/1/2016 11:49,91.6,97.2,22
10/1/2016 11:49,91.7,97.2,22
10/1/2016 11:49,91.7,97.2,22
10/1/2016 11:49,91.7,97.3,22
